Date, Close/Last, Volume, Open, High, Low
06/12/2020, $9.39, 7074688, $9.48, $9.54, $9.195
06/11/2020, $9, 9508308, $9.36, $9.5, $8.95
06/10/2020, $9.78, 7838478, $10.13, $10.15, $9.76
06/09/2020, $9.82, 7490265, $9.81, $9.91, $9.642
06/08/2020, $10.2, 10254810, $10.33, $10.4, $10.02
06/05/2020, $9.69, 8949277, $9.87, $9.905, $9.67
06/04/2020, $9.49, 8666640, $9.36, $9.62, $9.285
06/03/2020, $9.22, 7084000, $8.97, $9.26, $8.94
06/02/2020, $8.9, 6240397, $8.91, $9.01, $8.84
06/01/2020, $8.69, 4256390, $8.47, $8.72, $8.44
05/29/2020, $8.4, 5230577, $8.46, $8.53, $8.33
05/28/2020, $8.51, 8666587, $8.72, $8.778, $8.49
05/27/2020, $8.68, 9086473, $8.59, $8.68, $8.405
05/26/2020, $8.21, 9982457, $7.96, $8.28, $7.955
05/22/2020, $7.32, 3174901, $7.4, $7.42, $7.28
05/21/2020, $7.36, 2832432, $7.42, $7.5, $7.33
05/20/2020, $7.51, 6453003, $7.35, $7.57, $7.34
05/19/2020, $7.06, 7553232, $7.15, $7.22, $7.04
05/18/2020, $7.13, 8496321, $6.94, $7.17, $6.88
05/15/2020, $6.44, 5979838, $6.47, $6.5, $6.395
05/14/2020, $6.66, 5277182, $6.37, $6.68, $6.25
05/13/2020, $6.6, 5082177, $6.82, $6.82, $6.53
05/12/2020, $6.91, 5591775, $7.02, $7.12, $6.9
05/11/2020, $6.93, 4329837, $6.93, $6.97, $6.83
05/08/2020, $7.13, 2759094, $7.12, $7.15, $7.05
05/07/2020, $6.99, 5227232, $6.97, $7.12, $6.965
05/06/2020, $6.8, 5273281, $7.04, $7.0566, $6.79
05/05/2020, $6.97, 4709581, $7.09, $7.14, $6.945
05/04/2020, $7.05, 7268500, $7.04, $7.18, $6.995
05/01/2020, $7.15, 5636558, $7.3, $7.3, $7.1
04/30/2020, $7.41, 6193381, $7.32, $7.515, $7.17
04/29/2020, $7.67, 12885530, $7.48, $7.76, $7.41
04/28/2020, $6.85, 7676040, $6.94, $6.97, $6.765
04/27/2020, $6.69, 9091582, $6.47, $6.725, $6.4301
04/24/2020, $5.95, 6439824, $6.08, $6.1, $5.8345
04/23/2020, $6.18, 5646148, $6.1, $6.41, $6.08
04/22/2020, $6.09, 4357372, $6.15, $6.165, $6.06
04/21/2020, $6.08, 6791261, $6.1, $6.26, $6.03
04/20/2020, $6.33, 5056080, $6.26, $6.47, $6.23
04/17/2020, $6.54, 4337295, $6.5, $6.56, $6.38
04/16/2020, $6.22, 2359206, $6.24, $6.26, $6.11
04/15/2020, $6.23, 7404076, $6.31, $6.3799, $6.1425
04/14/2020, $6.85, 6054047, $6.83, $6.98, $6.73
04/13/2020, $6.52, 3851730, $6.66, $6.67, $6.44
04/09/2020, $6.69, 7326863, $6.74, $6.775, $6.5405
04/08/2020, $6.54, 4605047, $6.59, $6.62, $6.44
04/07/2020, $6.64, 7775573, $6.82, $6.84, $6.555
04/06/2020, $6.38, 5750318, $6.34, $6.4, $6.21
04/03/2020, $5.9, 4594293, $5.92, $5.97, $5.79
04/02/2020, $6.02, 6539395, $6.02, $6.32, $5.92
04/01/2020, $5.96, 5716223, $6.1, $6.21, $5.95
03/31/2020, $6.42, 5113991, $6.36, $6.595, $6.33
03/30/2020, $6.51, 5937723, $6.34, $6.52, $6.21
03/27/2020, $6.47, 6165211, $6.5, $6.62, $6.41
03/26/2020, $6.99, 8199547, $6.87, $7.06, $6.79
03/25/2020, $6.88, 10449070, $6.77, $7.115, $6.53
03/24/2020, $6.58, 9838860, $6.46, $6.7454, $6.3
03/23/2020, $5.84, 11118950, $6, $6.085, $5.84
03/20/2020, $5.76, 12969960, $6, $6.13, $5.66
03/19/2020, $5.86, 13403120, $5.77, $6.0498, $5.62
03/18/2020, $5.56, 15663600, $5.56, $5.73, $5.31
03/17/2020, $5.79, 11880610, $5.49, $5.85, $5.38
03/16/2020, $5.48, 12521290, $5.03, $5.675, $4.99
03/13/2020, $5.97, 10609870, $6.15, $6.17, $5.5501
03/12/2020, $5.53, 16434760, $6.1, $6.1, $5.4
03/11/2020, $6.51, 18292360, $6.77, $6.88, $6.4
03/10/2020, $6.96, 11166080, $7.21, $7.28, $6.65
03/09/2020, $6.62, 13790370, $6.6, $6.9301, $6.5912
03/06/2020, $7.59, 10970250, $7.6, $7.78, $7.5
03/05/2020, $7.75, 11179990, $7.83, $7.9489, $7.7
03/04/2020, $8.2, 10606180, $8.15, $8.25, $7.96
03/03/2020, $8.14, 15845560, $8.58, $8.65, $8.07
03/02/2020, $8.59, 12264640, $8.46, $8.6, $8.2876
02/28/2020, $8.72, 9583771, $8.66, $8.8, $8.47
02/27/2020, $8.98, 12148440, $9.13, $9.26, $8.88
02/26/2020, $9.45, 8695382, $9.58, $9.73, $9.44
02/25/2020, $9.33, 16133060, $9.64, $9.6625, $9.29
02/24/2020, $9.64, 10693840, $9.68, $9.77, $9.59
02/21/2020, $10.24, 11119140, $10.58, $10.58, $10.16
02/20/2020, $10.67, 6287826, $10.7, $10.815, $10.58
02/19/2020, $10.67, 7628259, $10.59, $10.73, $10.56
02/18/2020, $10.71, 6397484, $10.73, $10.79, $10.68
02/14/2020, $11.04, 5973885, $11.09, $11.16, $11
02/13/2020, $11.02, 8443364, $10.99, $11.13, $10.9523
02/12/2020, $10.85, 5476615, $10.86, $10.9, $10.79
02/11/2020, $10.5, 7890221, $10.43, $10.655, $10.365
02/10/2020, $10.3, 8158472, $10.23, $10.35, $10.115
02/07/2020, $10.41, 5954297, $10.39, $10.47, $10.32
02/06/2020, $10.37, 23345350, $10.17, $10.445, $10.1
